,Exporter,Importer,Textiles and furniture,"Vegetables, foodstuffs and wood",Stone and glass,Minerals,Metals,Chemicals and plastics,Transport vehicles,Machinery,Electronics,Other,"total, $"
0,CHN,USA,1.26895E+11,35720969330,14323599216,1365085309,35332660340,48647562466,19241206981,2.02E+11,1.78E+11,5673426238,6.67E+11
4,CHN,JPN,1.13912E+11,56486828183,8587347208,7015598697,30065903303,44597317051,16001861003,1.24483E+11,1.30301E+11,1131906062,5.33E+11
5,CHN,DEU,76579208418,18013282823,6316638080,1746485159,17840941924,23113475593,11108250382,90452146247,63007878644,17692731.27,3.08196E+11
6,CHN,GBR,17629583747,5093294101,1735083859,83915899.84,4508351720,5350915049,1769050602,17887893401,13948392724,288574405.1,68295055507
7,CHN,FRA,17534913166,4103328006,1301346811,96523054.26,3379547456,4719887776,1310574061,19579977309,18118232781,33739470.84,70178069892
8,CHN,BRA,20864630245,6595395530,3044678227,949183081.2,13675807206,22887516783,8623513437,35624289289,39443574640,6411561.397,1.51715E+11
9,CHN,ITA,11898427879,3302067023,1100179053,110441727.9,4516192254,4427221688,1245482046,11764452745,8153226484,74419745.77,46592110646
10,CHN,RUS,26710793557,11015292211,2285626792,427620807,6928836886,7423728432,4333512542,17847632377,14233581878,305460.0437,91206930943
11,CHN,IND,11314717137,3315173838,6198891192,2486456700,14297668843,34005004134,6178695282,31161236059,36649997281,3046159534,1.48654E+11
12,CHN,CAN,17124263780,5847065153,2221278595,356990415.3,7855671805,6132226840,3187771416,19197594957,15928897446,21275326.1,77873035733
13,CHN,AUS,68333098751,21729696234,8112029394,5387687560,28696048841,34803375337,13973709249,75436719956,54919346399,3288276.508,3.11395E+11
14,CHN,KOR,1.0444E+11,64745621042,26235443098,21829664135,1.32273E+11,85539165721,19742636004,1.36633E+11,3.2918E+11,89780867.46,9.20708E+11
15,CHN,ESP,5412425708,1516261568,411345047.8,48583827.23,1556130026,1968234959,362488768.8,4190570208,3619678754,14092207.37,19099811074
16,CHN,MEX,4758593828,1411414406,551861768.2,151648452.6,2133076553,3137659439,2169636000,11066341867,8293289666,542840.8645,33674064821
17,CHN,TUR,3839666440,867505435.3,713129863.9,61008794.79,1862225419,2596541893,729766439,6112951689,5593081320,19949324.47,22395826620
18,CHN,IDN,30234388252,12455725757,4941563031,9554609359,24690675655,23973143756,6585952885,37968022043,29086518466,4400796.61,1.79495E+11
19,CHN,NLD,3944384278,1439168189,321589802.5,111381597.8,1255163315,2136529528,510475651.7,12537712504,8223110136,182038662,30661553663
20,CHN,SAU,62801748216,15339816447,13793362437,855410021.8,34131486544,22933768138,13425084578,40843152642,27309207700,7963276.554,2.31441E+11
21,CHN,CHE,38295766004,11971669966,6055804161,1152154055,9725890667,31838973187,3329143519,55493439957,48274754476,46404009.92,2.06184E+11
22,CHN,SWE,7272758199,1768293746,534576676.8,46082291.35,1968092248,1480672916,733121337.7,4695770435,5510963881,8432501.861,24018764233
23,CHN,NGA,1899511588,510234808.5,361485807.3,52533139.03,992813108.2,994904680.2,695620386.7,986907944.3,1273105349,2634223.228,7769751035
24,CHN,POL,1919551433,427824178,218350082.3,32434118.2,682239630.3,620287862.7,316579974.4,3001596602,2014682969,403408.2151,9233950258
25,CHN,BEL,7604598757,2263369919,1946109908,110222730,4245453686,4696404964,734657365.9,5496278340,4342698642,263568314.1,31703362627
26,CHN,ARG,2478458199,651831576.5,314834328,243807015.2,1198866425,5024625955,3124809543,7385822594,8230207103,1755222.236,28655017962
27,CHN,NOR,2713061304,753626785.2,270092034.8,76948782.81,927420386.5,591953883.3,536699544.3,1442336499,1263335754,1773977.938,8577248952
28,CHN,VEN,558644854,139430281,87091128,9244093,707180744,440909885,882160861,1862029564,970729966,0,5657421376
29,CHN,AUT,2720422143,836970587.3,544928515.7,145559345.2,1375893006,1144124319,349522466.6,3163884179,5921805826,15756364.58,16218866752
30,CHN,IRN,4010240390,1681621721,1684627090,495353380,3599524887,2812585054,2087272309,4822105217,3144697347,458952,24338486347
31,CHN,THA,18511694352,16771189890,6374718839,2002191504,24170223492,24394056540,6999869276,39268241508,36486770101,5044498.442,1.74984E+11
32,CHN,ARE,16670591222,3135504127,2359007079,821109819.1,5421751879,3959491319,1708329418,11463904558,10749423488,150553.8701,56289263463
66,KOR,USA,2303692848,1874812620,1047579812,4001516764,9165708698,7938448355,27432316668,17061329129,19393057833,1257658028,91476120754
67,KOR,CHN,6571455544,4310285847,21535026224,21777920344,21692923268,72170045995,15005753961,89592012647,1.64737E+11,288376810.1,4.18E+11
70,KOR,JPN,3119758510,7201811700,4608822671,20708797459,14992084110,13397337854,3191140512,12059142701,18383370267,1635346698,99297612482
71,KOR,DEU,1261853691,269206952.2,264067053.3,34250753.16,1664134007,4980915798,9495736011,6452432982,7462885589,7051046.808,31892533885
72,KOR,GBR,395677402.5,135621659.7,600539112.2,1265734642,428827634.3,1002311240,3733657050,1502421291,1810809727,296430133,11172029892
73,KOR,FRA,526507894.7,134768663.9,76870003.09,654677834.9,354393631.3,1004687933,1991449453,1581233793,2872176230,6430544.496,9203195982
74,KOR,BRA,189365690.9,37349182.36,22137631.78,47598600.55,525538537.4,842349000.9,1353127488,1187541913,3641409013,428453.9399,7846845512
75,KOR,ITA,540533255.4,152841443,84572856.09,49647708.49,1270694689,1906662675,1401240199,938774400.2,838400249,8979453.499,7192346928
76,KOR,RUS,394277833.2,419229126.1,71806689.47,180287044.4,769192457.7,1523498485,6274123433,2293910497,1391718284,670547.6235,13318714398
77,KOR,IND,373731208.9,610786808.5,782331791.7,1957176805,5384230454,6725726487,2132456677,3986319104,4824267508,503386097.6,27280412942
78,KOR,CAN,189134736.6,160829359.1,187870791,161251527.9,760292258.6,614036334.3,3110101312,1159625149,980220863.6,9727594.278,7333089927
79,KOR,AUS,413014927.8,780050577.5,120966403,13136776481,2691648649,2032538986,6823862278,5084440885,1868887866,6025399.061,32958212451
80,KOR,KOR,0,0,0,0,0,0,0,0,0,0,0
81,KOR,ESP,186748116.1,63119728.82,20808352.68,5167608.406,287906778,594964988.9,681948329.9,316226788.5,411546319.1,5455861.466,2573892872
82,KOR,MEX,64742431.84,21143112.15,14383725.56,15125360.36,496428045.4,301161264.7,803729194.2,1169901875,911777404.6,14349628.89,3812742043
83,KOR,TUR,78514206.8,23410909.11,5025009.66,6604132.341,205368406.4,508477471.9,163231534.7,332321725.1,415336465.2,2168433.806,1740458295
84,KOR,IDN,4721952616,1226214864,161579910,13030535357,5680362190,5371765765,1618902434,3633819669,2518513075,2265430.858,37965911309
85,KOR,NLD,103114051.5,60369737.05,16667050.08,1793889381,385983651.7,763799769.3,300756421.8,1669101702,1520798873,12107161.83,6626587799
86,KOR,SAU,2892168402,907214863.2,262453489.8,364856309.2,9157564757,7762985035,31827748163,16417052190,12590163488,2401679.118,82184608377
87,KOR,CHE,145399168.9,82927812.87,294910171.5,7584509.359,288143029.5,1123986138,1371858675,1033653234,686362443.4,2113217.238,5036938400
88,KOR,SWE,122436923.9,40392361.95,21667410.35,1867811.045,232076657.1,327196550.9,671060332.9,466323406.7,931062981.6,669068.5373,2814753505
89,KOR,NGA,260590714.2,118400298.5,8794116.833,106745553.1,1268835495,1318679374,2031384143,395938827.8,331472807.4,131842.4646,5840973172
90,KOR,POL,71329468.31,11655321,4684230.117,266181.2978,132552968,160744750.4,108793940.6,535219347.7,590848535.7,180350.8546,1616275094
91,KOR,BEL,78280252.89,11882129.01,13378759.28,175806373.4,288863920.6,553559103,890358383.4,496294320.8,58315530.1,5990369.403,2572729142
92,KOR,ARG,114650624.2,22570862.32,8341623.211,89491970.14,216871559.1,547495056.5,399280561.8,500099193.5,937702369.1,32809.1339,2836536629
93,KOR,NOR,37801664.27,29699486.66,7649445.281,7436079.91,52587385.15,79913192.05,3729112562,286634157.5,323252876.6,2102610.445,4556189460
94,KOR,VEN,4674846,1635129,576334,4704,39759233,35935495,52329922,50311231,50616305,14430,235857629
95,KOR,AUT,35412409.94,28168871.5,14377207.4,378349.1901,88297389.35,104100669.5,292191383.1,873630045.5,805150613.5,90988.031,2241797927
96,KOR,IRN,86016478,260469701,7901437,9717957,581278488,930676428,303328412,1238020386,749825213,65677,4167300177
97,KOR,THA,310771673.3,428548432.6,334548579.1,409329823.4,3628027924,2517382933,411331189.5,2023089686,1909595803,1073772.526,11973699817
98,KOR,ARE,2762728553,1974026617,211081908.5,703465891.9,5442941583,4162656195,7237123888,8587111069,9001209127,5100521.173,40087445354
99,JPN,USA,963142490.7,982310103.2,1220663596,476726723.9,4595396670,10068218498,38499743742,30090876292,13115453078,2865468806,1.03E+11
100,JPN,CHN,13040480232,10173821395,13607470359,7355946765,60977697480,1.04824E+11,60676714703,1.75456E+11,1.44621E+11,3336785656,5.94E+11
104,JPN,DEU,276243291.4,147032050,466906290.1,26428277.27,742711111.7,2643892006,3998809159,9294683594,6050365906,2008746281,25655817967
105,JPN,GBR,113066776.1,66773215.58,416186301.2,223921194.4,347611253.4,867641215.7,2118496957,2356456354,1104963108,120305401.3,7735421776
106,JPN,FRA,250317951.1,128706596.4,127418044.8,17290907.58,283195757.4,2173806299,2759753295,4385193300,1510426086,14914941.36,11651023178
107,JPN,BRA,85897229.69,81795410.62,47414906.67,12046408.4,854889639.2,1622565268,2371831999,3874309885,1252456788,30711414.84,10233918949
108,JPN,ITA,466267386.4,91755871.12,245085148.3,39227824.66,378837256.8,1781816043,1778545763,2830380192,693418945.5,17284991.31,8322619422
109,JPN,RUS,212713910.2,462357647.5,108343210.6,110429973.2,549185984.8,1492383631,10695084890,3326913629,790082323.5,140277149.7,17887772349
110,JPN,IND,338207345.3,104497531.6,226322240.1,460651740.3,4165165796,3261434004,2926270580,6373556381,1930054999,590519095.5,20376679713
111,JPN,CAN,100836774.8,133360248.3,63643389.75,44162709.08,698446460.6,951855449.4,4972135820,3744605712,1346887892,88341094.43,12144275550
112,JPN,AUS,175290206.1,599330427.8,910740938.3,8307417566,4026557323,3686309189,24272628134,7924462823,1955277535,955841912.1,52813856054
113,JPN,KOR,526364774.2,973850268,1835975719,3469429890,10700304202,15419128774,1827357653,14613284481,8682652675,1207546807,59255895243
114,JPN,ESP,34984839.92,23133063.61,20146624.63,34407251.32,102846394.6,458044678,1585552823,1189904601,490583907.6,1823037.237,3941427221
115,JPN,MEX,30739239.88,9232658.483,21493877.06,22481901.72,752537110.2,277765975.1,1279929801,1345413938,735731138.2,101013603.5,4576339244
116,JPN,TUR,19146464.06,4739007.489,4304489.218,764803.8374,91738659.06,151254024.6,136098107.3,488226655.2,86131285.21,572952.6158,982976448.5
117,JPN,IDN,1349569639,632194380.4,411402306,403756838.1,10538443765,7776921992,7681667936,18028798478,5449375480,1989459734,54261590548
118,JPN,NLD,26608648.62,68809061.75,27109987.13,6749065.149,150759876.1,667427839,350593429.6,2341889917,944194083.5,44326410.32,4628468318
119,JPN,SAU,1160990075,311774768.1,469752063.5,163346549,10590747563,4843810781,34653226893,14538493147,3756709649,515562607.4,71004414096
120,JPN,CHE,73162499.34,56700940.65,2777112632,4744839.31,176574659.5,1811492128,1469130888,1205892770,444375048.1,786641155.9,8805827561
121,JPN,SWE,17457739.98,14572118.55,14792851.31,3509561.793,189551119.8,188134637.1,1233576488,602502151,365924936.3,1482526.321,2631504130
122,JPN,NGA,582644271.9,27525427.26,21987093.06,39294.70931,1443211071,383509243.3,1166390628,1973795439,233827978.7,19565221.61,5852495668
123,JPN,POL,25119677.17,7196303.97,10654884.78,2852564.018,61196606.56,167213697,333155946.6,593387836.9,174324338.9,20081893.14,1395183749
124,JPN,BEL,27184323.44,9458967.641,37934361.11,5426497.775,57862374.04,694515232,746135239.4,757668177.4,286188873.8,9347077.378,2631721124
125,JPN,ARG,7609917.771,5848025.025,6993857.519,2988087.78,108783389.9,455485042,723789535.1,1295920746,253440721.1,1755252.132,2862614574
126,JPN,NOR,6041386.758,7901848.975,7148011.738,495857.8493,417660696.6,108436636,545950564.1,426619124.7,60995923.05,32968039.3,1614218089
127,JPN,VEN,356747,818426,821484,73816,11638549,40456539,191510070,64417081,8918601,5614657,324625970
128,JPN,AUT,23638245.1,10806131.04,33970547.99,11093847.24,86783253.19,279988345.1,604781859.5,541075904.3,199908870.8,40593226.78,1832640231
129,JPN,IRN,5821383,2158991,1396205,559252,2641055,29606728,107120666,62932987,32825199,5951866,251014332
130,JPN,THA,417859066.1,669586695.9,1129693623,162893699.7,7414651440,3975499983,3220073949,9145483716,5639660977,1150939079,32926342230
131,JPN,ARE,1430358797,480811470.2,456775601.6,226064945.2,6152558110,4677401077,31772157163,11009996032,3853568854,1340445889,61400137938
